128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
128,  64, 192
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
 32,  16, 144
 96,  48, 176
160,  80, 208
224, 112, 240
  8,   4, 132
 24,  12, 140
 40,  20, 148
 56,  28, 156
 72,  36, 164
 88,  44, 172
104,  52, 180
120,  60, 188
136,  68, 196
152,  76, 204
168,  84, 212
184,  92, 220
200, 100, 228
216, 108, 236
232, 116, 244
248, 124, 252
  8,   4, 132
 24,  12, 140
 40,  20, 148
 56,  28, 156
 72,  36, 164
 88,  44, 172
104,  52, 180
120,  60, 188
136,  68, 196
152,  76, 204
168,  84, 212
184,  92, 220
200, 100, 228
216, 108, 236
232, 116, 244
248, 124, 252
  8,   4, 132
 24,  12, 140
 40,  20, 148
 56,  28, 156
 72,  36, 164
 88,  44, 172
104,  52, 180
120,  60, 188
136,  68, 196
152,  76, 204
168,  84, 212
184,  92, 220
200, 100, 228
216, 108, 236
232, 116, 244
248, 124, 252
  8,   4, 132
 24,  12, 140
 40,  20, 148
 56,  28, 156
 72,  36, 164
 88,  44, 172
104,  52, 180
120,  60, 188
136,  68, 196
152,  76, 204
168,  84, 212
184,  92, 220
200, 100, 228
216, 108, 236
232, 116, 244
248, 124, 252
  2,   1, 129
  6,   3, 131
 10,   5, 133
 14,   7, 135
 18,   9, 137
 22,  11, 139
 26,  13, 141
 30,  15, 143
 34,  17, 145
 38,  19, 147
 42,  21, 149
 46,  23, 151
 50,  25, 153
 54,  27, 155
 58,  29, 157
 62,  31, 159
 66,  33, 161
 70,  35, 163
 74,  37, 165
 78,  39, 167
 82,  41, 169
 86,  43, 171
 90,  45, 173
 94,  47, 175
 98,  49, 177
102,  51, 179
106,  53, 181
110,  55, 183
114,  57, 185
118,  59, 187
122,  61, 189
126,  63, 191
130,  65, 193
134,  67, 195
138,  69, 197
142,  71, 199
146,  73, 201
150,  75, 203
154,  77, 205
158,  79, 207
162,  81, 209
166,  83, 211
170,  85, 213
174,  87, 215
178,  89, 217
182,  91, 219
186,  93, 221
190,  95, 223
194,  97, 225
198,  99, 227
202, 101, 229
206, 103, 231
210, 105, 233
214, 107, 235
218, 109, 237
222, 111, 239
226, 113, 241
230, 115, 243
234, 117, 245
238, 119, 247
242, 121, 249
246, 123, 251
250, 125, 253
254, 127, 255
